# Rime user dictionary
#@/db_name	custom.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	16419
#@/user_id	2a0bc472-4445-4d93-8ddf-986d757ebe5b
a 	啊	c=94 d=1.01937 t=16418
gong an ju 	公安局	c=3 d=1.98511 t=11318
gong ben 	工本	c=1 d=0.0042963 t=16418
gong cheng 	工程	c=14 d=4.37611e-06 t=16418
gong dan hao 	工单号	c=1 d=1 t=6859
gong gao 	公告	c=1 d=3.82229e-11 t=16418
gong gong 	公共	c=2 d=4.7375e-06 t=16418
gong hao 	功耗	c=1 d=1 t=9113
gong ji 	共计	c=5 d=1.00007 t=15454
gong jiao 	公交	c=3 d=0.00939386 t=16418
gong jiao che 	公交车	c=1 d=1.96537e-08 t=16418
gong ju 	工具	c=4 d=6.76052e-07 t=16418
gong ju xiang 	工具箱	c=1 d=1 t=6648
gong li 	公里	c=1 d=1 t=13346
gong lu 	公路	c=1 d=1 t=14198
gong neng 	功能	c=8 d=0.722527 t=16418
gong shi 	公式	c=5 d=1.85057 t=15821
gong shi 	公示	c=5 d=1.89583 t=11359
gong si 	公司	c=14 d=0.0431046 t=16418
gong tong 	共同	c=2 d=0.000239328 t=16418
gong xiang 	共享	c=7 d=0.0107944 t=16418
gong ye yuan 	工业园	c=1 d=1 t=15769
gong you 	共有	c=3 d=2.38184 t=11104
gong yuan 	公园	c=1 d=1 t=14285
gong zi 	工资	c=15 d=0.159614 t=16418
gong zuo 	工作	c=37 d=0.129701 t=16418
google 	Google	c=2 d=1.99501 t=5286
gou 	够	c=1 d=1 t=5797
gou 	沟	c=1 d=1 t=12373
gou 	狗	c=1 d=0.00232276 t=16418
gou mai 	购买	c=1 d=1 t=5250
gou tong 	沟通	c=13 d=0.0757748 t=16418
gou wu 	购物	c=4 d=0.107331 t=16418
gou wu guang chang 	购物广场	c=0 d=1.625e-07 t=16418
gou zhi 	购置	c=1 d=1 t=10906
gu 	孤	c=2 d=1.02704e-07 t=16418
gu 	故	c=2 d=1 t=14889
gu 	谷	c=1 d=1 t=15037
gu ding 	固定	c=1 d=1.82777e-07 t=16418
gu hua 	固化	c=2 d=1.99005 t=11030
gu hua 	固话	c=1 d=1 t=13274
gu ji 	估计	c=3 d=0.00275389 t=16418
gu ji 	古籍	c=2 d=5.54767e-05 t=16418
gu lao 	古老	c=2 d=5.41069e-05 t=16418
gu shi 	故事	c=1 d=1 t=6573
gu tai 	固态	c=3 d=0.511709 t=16418
gu wang 	固网	c=8 d=1.01543 t=16127
gu yong 	孤勇	c=1 d=1 t=5005
gu yong zhe 	孤勇者	c=4 d=2.50177e-07 t=16418
gu yuan 	固原	c=1 d=1.39504e-05 t=16418
gu yuan 	雇员	c=1 d=1.57703e-05 t=16418
gu yuan zhi 	雇员制	c=1 d=1.40204e-05 t=16418
gua 	瓜	c=1 d=2.575e-10 t=16418
gua gou 	挂钩	c=1 d=3.30581e-08 t=16418
gua ke 	挂科	c=1 d=2.38894e-10 t=16418
gua mian 	挂面	c=1 d=0.0555762 t=16418
gua zai 	挂载	c=1 d=1 t=11470
guan 	官	c=1 d=1 t=13768
guan 	管	c=4 d=0.0209629 t=16418
guan 	观	c=0 d=8.3786e-09 t=16418
guan 	贯	c=1 d=1 t=13365
guan bi 	关闭	c=7 d=0.000824595 t=16418
guan cha 	观察	c=3 d=0.00187157 t=16418
guan dao 	管道	c=1 d=1.37096e-06 t=16418
guan ji 	关机	c=1 d=1 t=13784
guan jian 	关键	c=1 d=1 t=7891
guan li 	管理	c=15 d=0.455071 t=16418
guan li qi 	管理器	c=2 d=1.2739 t=6685
guan li yuan 	管理员	c=1 d=9.83405e-10 t=16418
guan na me duo 	管那么多	c=1 d=1.19206e-08 t=16418
guan shi pin 	观视频	c=1 d=8.4206e-08 t=16418
guan wang 	官网	c=3 d=1.26289e-05 t=16418
guan xi 	关系	c=2 d=1.31349 t=5587
guan xin 	关心	c=1 d=1 t=14981
guan yu 	关于	c=6 d=1.00018 t=15219
guan zhu 	关注	c=3 d=1.08329 t=9058
guang 	光	c=2 d=1 t=13884
guang biao 	光标	c=1 d=1.2818e-09 t=16418
guang bo 	广播	c=2 d=1 t=13339
guang le 	逛了	c=1 d=1 t=6101
guang xian 	光纤	c=2 d=1.2699e-09 t=16418
gui 	贵	c=2 d=1.30882 t=9649
gui 	鬼	c=1 d=1 t=9323
gui chu 	鬼畜	c=1 d=2.54938e-10 t=16418
gui dang 	归档	c=10 d=2.51055 t=15879
gui ding 	规定	c=2 d=1.00004 t=7722
gui fan 	规范	c=1 d=1 t=7680
gui fan hua 	规范化	c=2 d=1.44709 t=14176
gui hua 	桂花	c=1 d=6.12209e-08 t=16418
gui hua bei lu 	桂花北路	c=1 d=5.6445e-08 t=16418
gui lv 	规律	c=1 d=1 t=9682
guo 	国	c=1 d=1 t=7929
guo 	过	c=14 d=0.400517 t=16418
guo chan 	国产	c=2 d=0.460704 t=16418
guo cheng 	过程	c=4 d=0.000471162 t=16418
guo hou 	过后	c=1 d=0.000452827 t=16418
guo ji 	国际	c=1 d=1 t=13258
guo jia 	国家	c=1 d=0.1 t=15518
guo jia 	郭家	c=1 d=1 t=15112
guo jie 	过节	c=1 d=1.69631e-07 t=16418
guo jie fei 	过节费	c=1 d=1.2375e-07 t=16418
guo lai 	过来	c=4 d=0.848279 t=16373
guo le 	过了	c=1 d=0.402524 t=16418
guo nei 	国内	c=5 d=2.00048e-05 t=16418
guo nian 	过年	c=1 d=0.0845849 t=16418
guo qi 	国企	c=4 d=0.00102473 t=16418
guo qu 	过去	c=4 d=1.07964e-06 t=16418
guo shang 	过上	c=2 d=0.000754104 t=16418
guo shao 	过少	c=1 d=1 t=7249
guo wai 	国外	c=1 d=8.67557e-06 t=16418
guo wan 	过完	c=1 d=5.6865e-07 t=16418
guo wang 	国网	c=2 d=1.22624e-06 t=16418
guo wang 	过往	c=2 d=1.00037 t=13815
guo yang 	过氧	c=1 d=1 t=12836
guo zhi 	果汁	c=1 d=1 t=4934
hai 	孩	c=2 d=9.85901e-05 t=16418
hai 	海	c=6 d=1.0001 t=12006
hai 	还	c=35 d=0.337076 t=16418
hai bu 	还不	c=3 d=0.137664 t=16418
hai bu zhi dao 	还不知道	c=2 d=6.12939e-07 t=16418
hai de 	还得	c=1 d=0.00154923 t=16418
hai gao 	还高	c=1 d=1 t=9248
hai hao 	还好	c=5 d=2.05548e-06 t=16418
hai jun 	海军	c=1 d=0.000518277 t=16418
hai ke yi 	还可以	c=1 d=1 t=10761
hai mei 	还没	c=1 d=1 t=13955
hai mei you 	还没有	c=3 d=0.594521 t=16418
hai neng 	还能	c=4 d=0.0478363 t=16418
hai pa 	害怕	c=1 d=1 t=9464
hai sheng 	还剩	c=1 d=1 t=11537
hai shi 	还是	c=26 d=0.378406 t=16418
hai suan 	还算	c=1 d=0.0309618 t=16418
hai tao 	海涛	c=8 d=1.07065 t=14209
hai xing 	还行	c=2 d=2.25219e-08 t=16418
hai xu yao 	还需要	c=1 d=1 t=9144
hai yao 	还要	c=4 d=4.01641e-07 t=16418
hai you 	还有	c=8 d=0.0100668 t=16418
hai zai 	还在	c=4 d=0.215456 t=16418
hai zi 	孩子	c=1 d=1 t=5400
han 	含	c=2 d=1 t=15549
han 	汉	c=4 d=0.00028322 t=16418
han bing 	寒冰	c=1 d=1 t=9390
han shu 	函数	c=14 d=5.71763e-09 t=16418
han wo 	喊我	c=1 d=1 t=7471
han you 	含有	c=1 d=4.39457e-05 t=16418
han yu 	含于	c=3 d=3.07416 t=15434
han yu 	汉语	c=2 d=0.000234589 t=16418
han zi 	汉字	c=3 d=0.0626633 t=16418
hang 	行	c=3 d=0.799786 t=16418
hang ye 	行业	c=1 d=3.96734e-07 t=16418
hang zhou 	杭州	c=4 d=0.00724058 t=16418
hao 	号	c=36 d=0.72252 t=16418
hao 	好	c=24 d=0.239723 t=16418
hao 	毫	c=0 d=1.62556e-11 t=16418
hao 	浩	c=11 d=1.11956 t=14395
hao 	薅	c=3 d=0.0932169 t=16418
hao ba 	好吧	c=5 d=1.00002 t=15078
hao bu hao 	好不好	c=0 d=0.1 t=10400
hao bu hao yong 	好不好用	c=1 d=1 t=10401
hao duo 	好多	c=0 d=0.000904991 t=16418
hao duo le 	好多了	c=1 d=0.00909528 t=16418
hao duo tian 	好多天	c=1 d=1 t=12311
hao fei 	耗费	c=1 d=1 t=14851
hao hao 	好好	c=1 d=1 t=6328
hao hao 	浩浩	c=8 d=1.00136 t=15816
hao ji ci 	好几次	c=1 d=2.12906e-08 t=16418
hao jia huo 	好家伙	c=1 d=1 t=12802
hao jin 	好进	c=1 d=9.18981e-07 t=16418
hao jiu 	好久	c=2 d=0.00687406 t=16418
hao ma 	号码	c=1 d=1 t=13396
hao ri zi 	好日子	c=1 d=1 t=4873
hao wan 	好玩	c=1 d=0.00878245 t=16418
hao wu 	毫无	c=1 d=1 t=5354
hao xian 	号线	c=34 d=4.17515 t=16365
hao xiang 	好像	c=2 d=0.384812 t=16418
hao yang mao 	薅羊毛	c=1 d=0.0265162 t=16418
hao yi fu 	好衣服	c=1 d=0.0997588 t=16418
hao yi xie 	好一些	c=1 d=0.366045 t=16418
hao you 	好友	c=2 d=6.66958e-08 t=16418
hao zhao 	号召	c=1 d=1 t=15520
hao zhao 	好找	c=2 d=9.06707e-07 t=16418
he 	合	c=1 d=1 t=14757
he 	和	c=44 d=1.12634 t=16418
he 	喝	c=5 d=1.00296 t=6368
he 	盒	c=1 d=1 t=10613
he 	褐	c=1 d=1 t=9549
he bei 	河北	c=2 d=0.000172525 t=16418
he biao 	和表	c=1 d=1 t=14756
he bing 	合并	c=9 d=0.13044 t=16418
he dian 	核电	c=1 d=1 t=13981
he dui 	核对	c=38 d=2.78971 t=15564
he fa 	喝法	c=1 d=1 t=4999
he ge 	合格	c=1 d=1.6453e-05 t=16418
he ji 	合计	c=9 d=3.18425 t=16343
he jia 	何家	c=1 d=1 t=15119
he jiu 	喝酒	c=3 d=2.41095 t=4960
he li 	合理	c=1 d=1 t=13646
he nan 	河南	c=2 d=0.000174259 t=16418
he ni men 	和你们	c=2 d=2.05618e-10 t=16418
he pan 	河畔	c=1 d=1 t=8091
he ren cai 	和人才	c=1 d=4.78512e-06 t=16418
he run 	和润	c=1 d=0.0526021 t=16418
he run jia gou wu guang chang 	和润家购物广场	c=1 d=1.63315e-06 t=16418
he shang 	合上	c=1 d=1 t=9479
he shi 	核实	c=4 d=0.100081 t=16185
he suan 	核算	c=1 d=1 t=13925
he ti neng 	和体能	c=1 d=1.38116e-05 t=16418
he tong 	合同	c=4 d=0.00117787 t=16418
he wo 	和我	c=3 d=0.216934 t=16418
he xian 	核显	c=1 d=1 t=12393
he xin 	核心	c=1 d=1 t=6407
he yan 	核验	c=10 d=1 t=16334
he yan shu 	核验数	c=1 d=1 t=14052
he zhun 	核准	c=17 d=3.81162 t=12532
he zi feng bao 	合资风暴	c=-1 d=0 t=16418
hei 	黑	c=1 d=1 t=7652
hei le 	黑了	c=1 d=0.000480828 t=16418
hen 	很	c=9 d=0.71177 t=16418
hen duo 	很多	c=2 d=7.75312e-07 t=16418
hen nan 	很难	c=2 d=0.449329 t=16418
heng 	恒	c=1 d=1 t=10527
heng 	横	c=1 d=1 t=12372
heng gou 	横沟	c=5 d=1.00268 t=13813
hong 	宏	c=3 d=1.66035 t=10359
hong bao 	红包	c=1 d=0.00465413 t=16418
hong lian 	红联	c=1 d=5.13208e-06 t=16418
hong mi 	红米	c=1 d=2.27166e-06 t=16418
hong se 	红色	c=1 d=1 t=15530
hong wu 	宏武	c=8 d=1.19635 t=16188
hong wu 	洪武	c=1 d=1 t=10275
hou 	候	c=1 d=1 t=7969
hou 	后	c=14 d=0.0854503 t=16418
hou 	猴	c=2 d=1 t=12088
hou hui 	后悔	c=1 d=0.082085 t=16418
hou ji 	后继	c=1 d=7.21275e-10 t=16418
hou mian 	后面	c=2 d=1 t=16077
hou pai 	后排	c=1 d=1.06513e-07 t=16418
hou tai 	后台	c=1 d=1 t=8062
hu 	户	c=6 d=1.86247 t=10992
hu 	湖	c=1 d=0.141378 t=11174
hu 	糊	c=1 d=0.000293099 t=16418
hu 	胡	c=1 d=1 t=4930
hu bei 	湖北	c=23 d=0.0366883 t=16418
hu bei li gong 	湖北理工	c=1 d=4.39519e-06 t=16418
hu bei li gong xue yuan 	湖北理工学院	c=2 d=6.56451e-09 t=16418
hu bei sheng 	湖北省	c=3 d=0.0569831 t=16418
hu lian 	互联	c=1 d=1 t=11463
hu xiang 	互相	c=1 d=1 t=15408
hua 	化	c=3 d=1.00288 t=11026
hua 	华	c=3 d=1 t=14382
hua 	花	c=2 d=1 t=11258
hua 	话	c=6 d=1.61263 t=12731
hua bei 	花呗	c=5 d=0.00659658 t=16418
hua fei 	话费	c=0 d=0.000267181 t=16418
hua fen 	划分	c=2 d=1.55275 t=11048
hua hai 	花海	c=1 d=6.65821e-10 t=16418
hua le 	花了	c=2 d=1 t=9420
hua qing 	华清	c=1 d=1 t=12351
hua sheng mi 	花生米	c=1 d=1 t=4959
hua tu 	画图	c=1 d=1 t=6896
hua wei 	华为	c=10 d=2.10992 t=12563
huai chu 	坏处	c=1 d=0.0327124 t=16418
huai nan 	淮南	c=0 d=2.52926e-06 t=16418
huai nan wang 	淮南王	c=2 d=6.14912e-05 t=16418
huai xi guan 	坏习惯	c=1 d=1 t=4668
huai yi 	怀疑	c=1 d=0.126186 t=16418
huan 	换	c=2 d=0.0307279 t=16418
huan cun 	缓存	c=5 d=1.84789 t=8259
huan ge 	换个	c=2 d=0.008396 t=16418
huan hang 	换行	c=1 d=1.19185e-06 t=16418
huan jing 	环境	c=15 d=0.0081887 t=16418
huan jing bian liang 	环境变量	c=1 d=1 t=6683
huan kuan 	还款	c=5 d=0.00662816 t=16418
huan yi ge 	换一个	c=2 d=0.308819 t=16418
huan yuan 	换源	c=1 d=9.93288e-10 t=16418
huang 	慌	c=1 d=0.151072 t=16418
huang 	黄	c=2 d=1.00003 t=8821
huang gang 	黄冈	c=1 d=2.21023e-07 t=16418
huang mao 	黄毛	c=3 d=2.90248 t=11637
huang se 	黄色	c=2 d=1.956 t=9097
huang sha 	黄沙	c=1 d=1 t=15123
huang shi 	黄石	c=4 d=0.326349 t=16418
hui 	会	c=22 d=0.013912 t=16418
hui 	回	c=7 d=0.446139 t=16418
hui 	惠	c=1 d=1 t=15043
hui 	晖	c=3 d=1.00144 t=10273
hui 	辉	c=0 d=0.1 t=7869
hui bu hui 	会不会	c=2 d=1.50784e-08 t=16418
hui fu 	恢复	c=4 d=0.00660453 t=16418
hui guang 	惠光	c=2 d=1.52205 t=15894
hui hui 	回回	c=4 d=0.000427484 t=16418
hui jia 	回家	c=1 d=1.14828e-10 t=16418
hui jia le 	回家了	c=1 d=1.15404e-09 t=16418
hui lai 	回来	c=2 d=2.09736e-08 t=16418
hui min zu 	回民族	c=1 d=0.000115643 t=16418
hui qu 	回去	c=1 d=1 t=8384
hui shen 	会审	c=2 d=1.00004 t=15682
hui shou 	回收	c=4 d=2.52531 t=6753
hui xian shi 	会显示	c=1 d=0.000247277 t=16418
hui xie 	回血	c=1 d=9.68599e-08 t=16418
hui yi 	会议	c=5 d=1.11211 t=13808
hui yi shi 	会议室	c=1 d=1 t=7529
hui you 	会有	c=3 d=1.00002 t=7742
hui yuan 	会员	c=3 d=5.51733e-06 t=16418
hui zong 	汇总	c=21 d=1 t=15841
hui zong biao 	汇总表	c=1 d=1 t=7222
hui zu 	回族	c=13 d=0.00143392 t=16418
hun luan 	混乱	c=1 d=1 t=8544
hun shen 	浑身	c=1 d=1 t=4707
hun shu 	混输	c=2 d=3.60394e-10 t=16418
huo 	或	c=1 d=1 t=7007
huo 	活	c=3 d=1.00171 t=14114
huo de 	获得	c=1 d=1 t=14865
huo dong 	活动	c=2 d=0.083527 t=16418
huo qu 	获取	c=8 d=0.000250421 t=16418
huo rong 	火绒	c=1 d=1 t=9125
huo wo 	和我	c=1 d=0.000383949 t=16418
huo xu 	或许	c=1 d=1 t=9321
huo zhe 	或者	c=2 d=0.00121259 t=16418
i p 	IP	c=2 d=1.89891e-09 t=16418
ji 	几	c=2 d=1 t=13345
ji 	即	c=1 d=8.80968e-10 t=16418
ji 	及	c=6 d=0.000260959 t=16418
ji 	寄	c=2 d=1.23729e-05 t=16418
ji 	机	c=4 d=1.10187e-05 t=16418
ji 	级	c=3 d=1 t=14519
ji 	纪	c=0 d=0.0128093 t=16418
ji 	计	c=1 d=1 t=15202
ji bai 	几百	c=1 d=1.37451e-07 t=16418
ji ben 	基本	c=7 d=0.00218749 t=16418
ji ceng 	基层	c=1 d=5.67375e-10 t=16418
ji chu 	基础	c=5 d=1.48181e-09 t=16418
ji cun 	寄存	c=2 d=0.00775552 t=16418
ji dan 	鸡蛋	c=1 d=4.53999e-05 t=16418
ji de 	记得	c=5 d=1.9119e-07 t=16418
ji di 	极地	c=1 d=1 t=6135
ji du 	季度	c=2 d=1.00001 t=14466
ji fang 	机房	c=2 d=1.08673 t=12681
ji fei 	计费	c=2 d=1.99501 t=15924
ji ge 	几个	c=4 d=1.58899e-07 t=16418
ji ge xiao shi 	几个小时	c=1 d=1 t=6061
ji ge yue 	几个月	c=1 d=0.238115 t=16418
ji gou 	机构	c=1 d=1 t=6110
ji guo 	寄过	c=1 d=1 t=14598
ji guo qu 	寄过去	c=1 d=5.03046e-06 t=16418
ji hang 	几行	c=1 d=0.000309671 t=16418
ji hu 	几乎	c=1 d=1 t=5424
ji hua 	计划	c=8 d=0.970455 t=16418
ji hui 	机会	c=2 d=0.000491047 t=16418
ji ji 	几几	c=1 d=2.46723e-07 t=16418
ji ji 	积极	c=2 d=1 t=14879
ji jian 	极简	c=1 d=1.47087e-10 t=16418
ji jie 	季节	c=0 d=0.1 t=10044
ji jin guo 	纪金国	c=3 d=0.580044 t=16418
ji ke 	即可	c=2 d=1.00001 t=14873
ji kuan 	几款	c=1 d=1 t=12390
ji lei 	积累	c=1 d=0.0513033 t=16418
ji lu 	记录	c=10 d=0.383624 t=16418
ji mao shi chang 	集贸市场	c=1 d=1 t=13225
ji neng 	技能	c=1 d=1.34752e-06 t=16418
ji neng ce shi 	技能测试	c=1 d=1.35381e-05 t=16418
ji nian qian 	几年前	c=1 d=0.0182243 t=16418
ji qi 	机器	c=4 d=8.29564e-06 t=16418
ji qi ren 	机器人	c=1 d=1 t=14075
ji qiang 	机枪	c=1 d=1 t=14984
ji qiang shou 	机枪手	c=1 d=1 t=14985
ji qiao 	技巧	c=1 d=4.20322e-10 t=16418
ji shi 	及时	c=2 d=1 t=14939
ji shu 	技术	c=4 d=0.304221 t=16418
ji shu 	计数	c=2 d=1.03877 t=15724
ji suan 	计算	c=4 d=1.96079 t=12537
ji suan ji 	计算机	c=5 d=1.6598e-05 t=16418
ji suan qi 	计算器	c=4 d=1 t=12557
ji tang 	鸡汤	c=1 d=1.06531e-09 t=16418
ji tiao 	几条	c=1 d=1 t=12308
ji tuan 	集团	c=2 d=1 t=16094
ji xiang 	机箱	c=1 d=1 t=12562
ji xiao 	绩效	c=1 d=1.20093e-07 t=16418
ji xie 	机械	c=3 d=1 t=9111
ji xu 	继续	c=5 d=2.18259e-06 t=16418
ji yao 	纪要	c=1 d=1 t=6642
ji yi 	记忆	c=2 d=0.0665368 t=16418
ji zai 	记载	c=2 d=6.24205e-05 t=16418
ji zhan 	基站	c=7 d=1.48766 t=13343
ji zhan fu jin 	基站附近	c=1 d=1 t=12458
ji zhang 	记账	c=2 d=1.97045 t=11528
ji zhong 	几种	c=3 d=7.22241e-05 t=16418
ji zhong 	集中	c=2 d=0.00018046 t=16418
jia 	价	c=5 d=0.000168716 t=16418
jia 	加	c=6 d=0.499074 t=16418
jia 	夹	c=1 d=1 t=5117
jia 	家	c=8 d=0.332871 t=16418
jia ban 	加班	c=10 d=0.00948047 t=16418
jia da kong 	假大空	c=1 d=1 t=4633
jia fang 	甲方	c=1 d=1 t=15005
jia ge 	价格	c=1 d=0.433874 t=16418
jia gou 	架构	c=2 d=1 t=8726
jia hao you 	加好友	c=1 d=6.49271e-08 t=16418
jia hui 	嘉惠	c=2 d=6.72821e-05 t=16418
jia li 	家里	c=1 d=0.172907 t=16418
jia li dun 	家里蹲	c=1 d=4.87001e-07 t=16418
jia li mian 	家里面	c=1 d=0.15259 t=16418
jia mi 	加密	c=2 d=1.99005 t=15731
jia qi 	假期	c=2 d=1 t=15643
jia qi lai 	加起来	c=1 d=0.000682328 t=16418
jia qiang 	加强	c=1 d=0.0291588 t=16418
jia shang 	加上	c=1 d=1 t=9609
jia shi yuan 	驾驶员	c=1 d=1 t=15762
jia su qi 	加速器	c=2 d=1.00003 t=11500
jia wo 	加我	c=1 d=6.17606e-08 t=16418
jia xiao 	驾校	c=4 d=0.00257994 t=16418
jia you 	加油	c=2 d=1.56911e-06 t=16418
jia yu 	嘉鱼	c=33 d=1.03509 t=16351
jia yuan 	家园	c=2 d=1 t=16353
jia zhao 	驾照	c=1 d=0.00427488 t=16418
jia zhuang 	加装	c=2 d=0.00149594 t=16418
jian 	件	c=1 d=0.000334597 t=16418
jian 	减	c=1 d=1 t=6108
jian 	建	c=1 d=1 t=5790
jian 	键	c=6 d=0.0153752 t=16418
jian ce 	检测	c=1 d=1 t=6650
jian cheng 	简称	c=2 d=0.00018386 t=16418
jian dan 	简单	c=3 d=8.49229e-09 t=16418
jian guo 	见过	c=1 d=0.0106459 t=16418
jian jin 	渐进	c=2 d=1.00013 t=6408
jian kang 	健康	c=7 d=1.03116e-08 t=16418
jian kang xing dong 	健康行动	c=2 d=1.95123 t=4768
jian kong 	监控	c=1 d=0.13332 t=16418
jian ku 	艰苦	c=1 d=5.58928e-10 t=16418
jian li 	监理	c=20 d=1.00088 t=16233
jian li 	简历	c=8 d=0.000939653 t=16418
jian lou 	简陋	c=2 d=1.63363 t=16418
jian mo 	建模	c=2 d=1.92181e-09 t=16418
jian nan 	艰难	c=0 d=0.000373503 t=16418
jian pan 	键盘	c=1 d=0.0155297 t=16418
jian rong 	兼容	c=1 d=1 t=13087
jian she 	建设	c=29 d=0.102977 t=16418
jian she fang 	建设方	c=1 d=1 t=14857
jian she qing kuang 	建设情况	c=1 d=1 t=13604
jian she yin hang 	建设银行	c=1 d=0.00286554 t=16418
jian shen 	健身	c=5 d=1.99174 t=6403
jian shi 	检视	c=1 d=1 t=8578
jian ti 	简体	c=1 d=1 t=10413
jian tie ban 	剪贴板	c=1 d=1 t=6663
jian wei 	建维	c=19 d=1.08494 t=14883
jian wei jie kou ren 	建维接口人	c=1 d=1 t=9121
jian yi 	建议	c=4 d=3.44904e-07 t=16418
jian zai 	健在	c=1 d=1 t=12503
jian zao 	建造	c=2 d=1.19205 t=7773
jian zhi 	兼职	c=2 d=1.17496e-06 t=16418
jiang 	奖	c=1 d=1.39528e-07 t=16418
jiang 	将	c=3 d=0.00158844 t=16418
jiang 	江	c=1 d=1 t=13237
jiang di 	降低	c=2 d=0.00509243 t=16418
jiang jia 	降价	c=1 d=1 t=6385
jiang jie 	讲解	c=1 d=1 t=7971
jiang luo 	降落	c=1 d=7.61927e-08 t=16418
jiang ya 	降压	c=1 d=1 t=10695
jiang yong hu 	将用户	c=1 d=9.7362e-10 t=16418
jiang zi 	江孜	c=3 d=6.0139e-05 t=16418
jiao 	交	c=1 d=1.0956 t=5610
jiao 	叫	c=2 d=0.00101897 t=16418
jiao 	教	c=0 d=0.154335 t=6092
jiao ben 	脚本	c=4 d=3.57543e-09 t=16418
jiao bie ren 	教别人	c=1 d=1 t=6093
jiao cai 	教材	c=1 d=0.941765 t=16418
jiao cheng 	教程	c=5 d=0.00323032 t=16418
jiao dai 	交代	c=1 d=1.73892e-09 t=16418
jiao dian 	交点	c=16 d=1.00082 t=16331
jiao dian 	焦点	c=0 d=0.1 t=13718
jiao duan 	较短	c=1 d=1 t=7737
jiao duo 	较多	c=2 d=0.000160861 t=16418
jiao fu 	交付	c=8 d=1.01543 t=16128
jiao hu shi 	交互式	c=2 d=6.99804e-06 t=16418
jiao jiao wo 	教教我	c=1 d=1 t=5971
jiao jiao zhe 	佼佼者	c=1 d=5.24841e-05 t=16418
jiao jie 	交接	c=2 d=1.3413 t=8417
jiao jing 	交警	c=1 d=4.38533e-09 t=16418
jiao lian 	教练	c=1 d=0.00259284 t=16418
jiao liu 	交流	c=1 d=0.0972957 t=16418
jiao lv 	焦虑	c=1 d=1 t=12939
jiao shao 	较少	c=2 d=1.01584 t=12469
jiao tong 	交通	c=2 d=1 t=15038
jiao wang 	交往	c=2 d=0.000244163 t=16418
jiao wo 	叫我	c=3 d=0.0284388 t=16418
jiao wo 	教我	c=0 d=0.1 t=5970
jiao xue 	教学	c=1 d=1 t=6087
jiao yan 	校验	c=1 d=0.955997 t=16418
jiao yi ci 	交一次	c=1 d=1 t=5602
jiao yu 	教育	c=5 d=2.10422e-08 t=16418
jiao yu bu 	教育部	c=3 d=2.41894e-08 t=16418
jiao yu fa zhan 	教育发展	c=1 d=6.16116e-09 t=16418
jie 	借	c=1 d=1 t=5147
jie 	姐	c=13 d=0.0866789 t=16418
jie 	届	c=1 d=1 t=5369
jie 	接	c=2 d=0.818731 t=16418
jie dan 	接单	c=1 d=1 t=6850
jie dao 	街道	c=2 d=1 t=12917
jie dian hua 	接电话	c=1 d=1 t=5022
jie duan 	阶段	c=3 d=1.64404 t=14928
jie gou 	结构	c=1 d=6.27047e-10 t=16418
jie he 	结合	c=1 d=1 t=13636
jie jia ri 	节假日	c=1 d=1 t=12925
jie jie 	姐姐	c=2 d=1 t=13954
jie jin 	接近	c=1 d=1.20695e-07 t=16418
jie jue 	解决	c=1 d=1 t=14845
jie kou 	接口	c=12 d=1.00362 t=14884
jie kou ren 	接口人	c=7 d=2.00495 t=14243
jie mian 	界面	c=6 d=1.02702 t=10669
jie qu 	截取	c=1 d=1 t=10786
jie ri 	节日	c=1 d=1.62921e-07 t=16418
jie ru 	接入	c=2 d=1 t=9945
jie ru wang 	接入网	c=9 d=1.2937 t=14689
jie shi 	结石	c=1 d=1.59283e-06 t=16418
jie shi 	解释	c=0 d=0.000106477 t=16418
jie shi qi 	解释器	c=1 d=0.0010701 t=16418
jie shou 	接收	c=3 d=0.357958 t=10026
jie suo 	解锁	c=2 d=3.35634e-10 t=16418
jie tu 	截图	c=7 d=1.85219e-08 t=16418
jie tuo 	解脱	c=1 d=2.5175e-09 t=16418
jie xi 	解析	c=3 d=0.000340886 t=16418
jie xian 	接线	c=1 d=0.0399551 t=16418
jie ya 	解压	c=2 d=1 t=14765
jie zhi 	截止	c=34 d=1.81338 t=16304
jie zhi dao 	截止到	c=1 d=1 t=14305
jie zhong 	接种	c=1 d=1 t=12750
jie zou 	节奏	c=1 d=0.0141931 t=16418
jin 	今	c=1 d=1 t=15974
jin 	尽	c=1 d=3.40648e-08 t=16418
jin 	近	c=2 d=0.00565622 t=16418
jin 	进	c=2 d=1.55708e-06 t=16418
jin 	金	c=1 d=1 t=13715
jin cheng 	进程	c=2 d=8.21967e-06 t=16418
jin du 	进度	c=26 d=1.6041 t=16125
jin guo 	金国	c=1 d=0.0128093 t=16418
jin ji 	紧急	c=2 d=1.98511 t=6979
jin kou 	进口	c=2 d=1.00105 t=13189
jin kuai 	尽快	c=14 d=0.0638444 t=16418
jin lai 	进来	c=3 d=2.02176e-06 t=16418
jin le 	进了	c=2 d=0.000742862 t=16418
jin liang 	尽量	c=4 d=1 t=14953
jin nian 	今年	c=7 d=0.102638 t=16418
jin qu 	进去	c=6 d=1.85792e-06 t=16418
jin ri 	今日	c=3 d=0.70168 t=16418
jin rong 	金融	c=2 d=1.00928 t=12526
jin ru 	进入	c=2 d=1 t=10596
